B,T,Mal,Fre,Op,Total
470,110,4.51791,0.000337799,4.579e-05,4.51829
510,210,4.5091,0.000624529,8.8974e-05,4.50981
210,230,4.48297,0.000329225,4.2925e-05,4.48334
70,140,4.50014,0.000196646,2.9975e-05,4.50037
420,130,4.50348,0.000342817,4.806e-05,4.50387
130,210,4.44319,0.000237964,3.109e-05,4.44346
500,140,4.484,0.000406636,5.856e-05,4.48446
270,250,4.51112,0.000387776,5.7766e-05,4.51156
320,170,4.49636,0.000327661,4.7708e-05,4.49673
260,50,4.53329,0.000203977,3.0057e-05,4.53353
430,320,4.50969,0.000908128,0.000107271,4.5107
510,300,4.51453,0.000905617,0.000125748,4.51556
330,260,4.50543,0.000588419,6.9084e-05,4.50608
30,40,4.47193,0.000155657,3.0237e-05,4.47212
170,100,4.46377,0.000230639,2.9544e-05,4.46403
460,400,4.49491,0.00104958,0.000138693,4.4961
420,390,4.48818,0.000936458,0.000132305,4.48925
50,250,4.50307,0.000221093,3.1673e-05,4.50333
100,180,4.48388,0.000212402,3.1115e-05,4.48412
410,50,4.46387,0.000221988,3.0904e-05,4.46412
340,280,4.49489,0.00057147,7.8756e-05,4.49554
380,280,4.50192,0.000623697,8.7567e-05,4.50263
280,10,4.46962,0.000167274,3.0681e-05,4.46982
350,260,4.51058,0.000588743,7.627e-05,4.51125
310,400,4.55695,0.000681662,0.000102193,4.55773
370,310,4.4779,0.00068968,8.9259e-05,4.47868
230,60,4.48596,0.000201657,2.8746e-05,4.48619
70,160,4.53274,0.000203164,3.022e-05,4.53297
470,360,4.47696,0.000959388,0.000136093,4.47805
340,240,4.50667,0.000436772,6.7285e-05,4.50717
340,230,4.49906,0.000433202,6.4024e-05,4.49956
380,470,4.51072,0.000996843,0.000145484,4.51186
500,250,4.50603,0.000698584,0.000103456,4.50683
410,110,4.49066,0.000330552,4.1439e-05,4.49103
160,350,4.49417,0.000366217,4.1602e-05,4.49458
270,340,4.47669,0.000572444,7.6436e-05,4.47734
410,300,4.49074,0.000705493,0.000102269,4.49155
220,100,4.46273,0.000236487,3.3115e-05,4.463
20,340,4.47432,0.000184067,3.095e-05,4.47453
220,330,4.50343,0.000405713,6.0739e-05,4.50389
190,490,0.0922064,0.00069351,8.0393e-05,0.0929803
200,400,0.0894495,0.000483965,6.9172e-05,0.0900027
400,390,4.48188,0.000931943,0.000128176,4.48294
130,290,4.45983,0.000297652,3.6286e-05,4.46017
440,460,4.49208,0.00112879,0.000157402,4.49337
280,230,4.50805,0.000416806,5.5201e-05,4.50852
260,420,4.5201,0.000638868,9.1552e-05,4.52083
280,140,4.51598,0.000294004,3.6605e-05,4.51631
390,390,4.48258,0.000910758,0.000125793,4.48362
180,120,4.53641,0.000256726,2.9348e-05,4.5367
410,310,4.49504,0.000706269,9.991e-05,4.49585
350,470,4.51502,0.000947686,0.000135208,4.51611
20,290,4.50357,0.000180004,3.0445e-05,4.50378
230,380,4.4927,0.000562514,7.3561e-05,4.49334
30,190,4.46438,0.000178675,2.9892e-05,4.46459
450,480,4.48819,0.00108884,0.000171631,4.48945
440,60,4.46775,0.00025156,3.4577e-05,4.46804
100,360,4.47161,0.000281318,3.3842e-05,4.47192
40,60,4.46158,0.000160335,2.9471e-05,4.46177
80,430,4.50359,0.000280324,3.2202e-05,4.50391
280,190,4.50271,0.000357646,4.6714e-05,4.50312
260,210,4.50594,0.000344258,4.7405e-05,4.50633
310,290,4.50347,0.000605715,7.4857e-05,4.50415
360,190,4.51863,0.000412163,5.2318e-05,4.5191
240,290,4.5165,0.000417343,5.2649e-05,4.51697
10,300,4.5215,0.000174819,3.187e-05,4.5217
140,250,4.48013,0.00027619,3.4293e-05,4.48045
250,160,4.4985,0.000298098,3.6264e-05,4.49883
470,440,4.49074,0.00113659,0.000165916,4.49204
30,60,4.48104,0.000167562,3.0698e-05,4.48124
250,360,4.50105,0.00056152,7.4773e-05,4.50169
290,370,4.49843,0.000620903,8.9741e-05,4.49914
360,350,4.47699,0.000746932,0.000104662,4.47784
130,450,0.088162,0.00041101,5.3368e-05,0.0886264
270,470,4.49219,0.000701717,0.000105043,4.493
10,90,4.55746,0.000206812,3.8255e-05,4.5577
250,50,4.50613,0.000203674,3.0166e-05,4.50636
180,500,0.107164,0.00119586,7.6983e-05,0.108437
240,140,4.50695,0.000271697,3.2507e-05,4.50726
140,470,4.46205,0.000384407,5.6008e-05,4.46249
270,80,4.49226,0.000233613,3.0222e-05,4.49253
120,420,4.49611,0.000315899,4.4858e-05,4.49647
280,420,4.49967,0.000681792,9.6462e-05,4.50045
70,90,4.48169,0.000179076,2.9413e-05,4.4819
320,40,4.47807,0.000198092,3.0955e-05,4.4783
